ID	GSM5176138_Control	GSM5176139_Control	GSM5176140_Control	GSM5176141_Control	GSM5176142_Control	GSM1332201_Control	GSM1332202_Control	GSM1332203_Control	GSM1332204_Control	GSM1332205_Control	GSM1332206_Control	GSM1332207_Control	GSM1332208_Control	GSM1332209_Control	GSM1332210_Control	GSM1337304_Control	GSM1337305_Control	GSM1337306_Control	GSM1337307_Control	GSM1337308_Control	GSM1337309_Control	GSM1337310_Control	GSM1337311_Control	GSM1337312_Control	GSM1337313_Control	GSM5176143_Treat	GSM5176144_Treat	GSM5176145_Treat	GSM5176146_Treat	GSM5176147_Treat	GSM5176148_Treat	GSM1332211_Treat	GSM1332212_Treat	GSM1332213_Treat	GSM1332214_Treat	GSM1332215_Treat	GSM1332216_Treat	GSM1332217_Treat	GSM1332218_Treat	GSM1332219_Treat	GSM1332220_Treat	GSM1337327_Treat	GSM1337328_Treat	GSM1337329_Treat	GSM1337330_Treat	GSM1337331_Treat	GSM1337332_Treat	GSM1337333_Treat	GSM1337334_Treat	GSM1337335_Treat	GSM1337336_Treat	GSM1339633_Treat	GSM1339632_Treat	GSM1339631_Treat	GSM1339630_Treat	GSM1339629_Treat	GSM1339628_Treat
EGFR	7.647917	7.617737	7.164769	7.258339	6.738076	7.018891	8.301961	8.343013	8.228701	7.889185	8.256479	7.650538	7.995283	8.137026	7.812864	6.885382	7.897592	7.921055	7.384826	7.745039	8.771123	7.580261	7.86334	7.990965	7.364422	7.252656	7.59794	7.627329	6.978294	7.21746	6.904513	7.264922	7.365328	7.485364	7.707272	7.357465	6.879187	6.228283	6.768941	7.149019	7.611719	7.097264	7.290289	7.712947	6.85253	7.820156	7.365511	7.219946	7.240523	7.352096	7.419279	7.290929	7.717865	8.273179	8.166892	7.962608	7.057897
FURIN	8.893375	8.256367	8.276191	8.544369	8.847201	7.730047	8.25081	8.820762	8.615424	8.911062	8.29323	8.322788	9.252298	9.223495	8.341178	8.513282	8.507763	7.720747	9.184126	8.550757	8.747051	8.623444	8.904949	8.865206	9.006204	7.993765	8.496084	7.840595	8.105423	8.175424	7.511606	7.723467	8.121641	8.112551	7.782556	7.762383	7.432365	8.786363	8.163984	8.073784	8.75806	8.287916	8.073555	8.236415	7.58427	7.495489	8.623729	7.098109	8.374797	7.973042	8.661597	7.597731	7.388541	8.329717	8.732636	8.481459	8.666205
FZD7	8.084006	8.066891	8.078702	8.4509	8.157947	8.155251	8.005917	8.228988	9.17894	9.246124	9.069211	7.961536	7.897753	9.067343	8.569422	8.641599	8.820257	8.609698	6.886198	7.794005	8.981464	8.58287	8.831976	8.70836	8.400759	8.773166	9.104502	8.680988	9.468046	9.49548	9.325581	9.152071	9.66053	8.98672	8.949221	9.222189	9.020808	9.215216	9.157334	9.964964	8.948713	9.282984	9.018382	9.439064	9.045699	9.06008	9.00061	8.470975	9.629534	9.185156	8.963591	8.557875	9.538237	8.978678	9.457404	9.656428	8.88218
GABARAPL2	11.193846	11.365698	11.319032	11.331068	11.14503	11.421958	11.152297	11.38146	10.825423	11.234792	11.480367	11.221612	10.933294	11.355282	10.98638	11.442967	11.457769	11.110208	10.952214	11.248786	11.575029	11.380327	11.467453	11.467453	11.330188	11.448892	11.425804	12.010006	11.662775	11.809138	11.531679	11.343387	11.67231	11.914195	11.537604	11.749328	11.717975	11.65549	11.658644	11.498829	11.29714	11.599865	11.735259	11.935148	11.645882	11.716081	11.558225	11.876506	11.431249	11.524406	11.579334	11.65908	11.529281	11.794148	11.685218	11.519411	11.608257
GLRX5	8.860245	7.534251	8.461947	9.061754	7.873108	9.592617	8.751655	8.538349	9.164366	8.795534	9.040436	8.542677	7.357469	8.335942	8.4749	8.045456	7.916757	8.437107	8.167645	7.863016	9.155081	9.315317	8.965606	8.451076	8.917336	9.112201	9.079695	9.168221	9.344647	7.840446	9.020072	8.371107	9.229469	10.011003	9.082263	9.338833	8.738314	9.114201	8.646924	8.781335	7.695112	8.853709	9.002135	9.220027	9.735454	9.636726	9.532144	9.418454	8.780983	8.843286	9.020889	8.81811	8.611903	9.091738	8.651346	8.674474	9.321691
GSTZ1	5.119545	7.071796	4.489852	4.045655	4.9785	4.276521	4.181479	5.471631	4.320662	5.758395	6.500646	5.077053	4.527996	7.357516	4.302842	2.915311	6.287626	4.810342	3.408658	3.660956	6.263908	6.278432	5.886439	6.378966	4.902695	4.624822	4.389349	6.369362	7.062617	5.919713	7.216087	4.749454	6.007121	7.66338	5.722219	5.644048	7.617613	7.192738	6.328147	5.4174	5.773616	5.27756	6.611232	6.61932	6.8884	5.763492	7.085908	7.234552	5.647236	5.431231	6.125172	7.055258	4.737821	6.522348	4.41922	5.626941	6.29132
HSPA5	11.517801	12.910331	11.673285	11.587195	11.717523	12.530541	12.319228	11.040897	12.311573	12.329141	11.809688	12.595692	12.569535	11.069035	11.471827	11.609799	11.5128	11.510324	12.625876	13.129906	11.8811	11.428176	11.30774	11.672588	10.967641	11.688401	11.072192	11.650414	11.5559	11.473031	11.358795	11.262803	11.244557	11.748914	11.203645	11.172932	10.955467	11.706868	11.317255	11.551507	10.969558	11.641424	11.812651	11.341434	11.017055	10.440849	11.736595	10.581433	11.544544	11.623591	11.395749	11.07473	11.090151	11.600938	11.092064	11.009053	11.877201
IL1B	7.897666	6.313097	6.987109	7.183116	6.690101	8.427346	8.310394	8.058646	8.461543	8.836165	8.90976	8.127635	8.671073	7.054349	7.832168	8.306013	6.521536	6.279424	10.044031	8.374837	6.013847	6.166289	8.591178	9.118224	8.740819	9.539444	7.939941	7.534904	7.478034	7.722654	6.439297	7.220261	7.113331	5.768799	6.645416	6.144954	6.92893	6.776735	6.658045	6.674247	7.235214	7.145848	6.893631	7.177511	6.535816	6.594202	6.629742	7.324447	7.214242	6.717516	7.00109	6.778342	8.081466	6.384203	5.91151	6.448291	6.758438
IL6	7.256393	8.318321	7.597422	7.246511	7.592361	7.93529	8.849418	7.289367	9.64688	10.332791	10.193702	11.955819	12.689835	7.625192	7.254836	9.890064	6.473767	6.566287	11.739895	11.035429	6.660609	5.150157	9.81715	9.49609	11.688978	12.321551	7.530384	6.060491	7.642393	7.955535	6.978537	7.120372	6.010508	6.905996	8.444457	6.285751	5.823744	6.754384	7.647574	5.654385	6.519152	7.582642	6.330483	6.410898	6.420244	6.29962	7.896385	6.641257	6.105411	7.46489	6.02618	7.258385	9.84916	5.179221	5.93422	7.216384	6.5876
MEF2C	7.729639	8.7269	8.807753	8.816486	8.476125	8.100338	8.3097	8.775619	8.577576	8.671444	8.733855	8.021863	8.088184	8.426043	8.164533	8.841457	8.978767	9.057016	7.155845	7.642756	8.425248	9.168048	9.179196	9.176853	8.869143	8.49787	9.022056	9.237394	8.805681	9.437452	8.748297	9.047677	9.09946	8.780562	9.264185	9.353558	9.090614	8.420931	8.340604	8.753591	8.894168	8.975212	8.69615	9.200734	8.499672	8.697295	8.811427	8.292183	8.524618	8.86645	9.248549	8.69624	8.737231	9.023532	8.655667	8.066286	9.296541
