id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM1337309_Control	0.0129930628027581	0.0046169762067176	0	0	0	0.117712756580022	0	0	0.0395884004477298	0	0.00615072805590309	0.001645329321604	0.051157619484153	0.0669560064560879	0.028771802337971	0.316444612681648	0.0407524082864039	0	0.313210297339002	0	0	0
GSM1337310_Control	0.00620969347798826	0.021885031800931	0.00422502072937532	0.0354114831965618	0	0.0104203440869879	0	0.0124154274530134	0.0387678195230886	0.00324491782334085	0	0.00300906875793427	0	0.314427791454389	0.0403243536756505	0.422334689041126	0.00482628968073824	0	0.073434042893447	0	0	0.00906402640542821
GSM1337311_Control	0.0260606291917182	0.0249543315009471	0.0167868085682977	0.0342267644002384	0	0.112872843572398	0	0.025393535147483	0.0126146043632108	0	0	0.022498910949061	0.0518682937492024	0	0.0326934454990897	0.408424650820226	0.0475809681226223	0	0.0854171318587949	0.0986070822567109	0	0
GSM1337312_Control	0	0.060502695330693	0.0112843569279003	0	0	0.167257289317913	0	0.0251405894195998	0.0117031638969698	0	0	0.0726158700325191	0.047471004398111	0	0.0342605494348059	0.380607504608544	0.0294474665626777	0	0.0230346406454052	0.126343139613364	0	0.0103317298114974
GSM1337313_Control	0	0.0104071627998377	0.0221549030436424	0.0250993063862995	0	0.105906997613108	0	0.0199045878930978	0.0123497922943738	0	0	0.0390448734340813	0.053528958690771	0.00552436563206601	0.0491121190027681	0.50826941959947	0.010396046926041	0	0	0.119326859785599	0	0.0189746068988444
GSM5176143_Treat	0	0.0760751706773707	0.049207265818512	0.0707205521126498	0	0.080036489585368	0.0214147015775506	0.00464417553188532	0.0191045077028342	0	0	0	0.0465953108096589	0.0853258557585583	0.0799034703700221	0.307348598534968	0.0291884433069794	0	0.0197807013709328	0.107581371659772	0	0.00307338518293765
GSM5176144_Treat	0.0271101651426777	0.0659151532158248	0.0424751644451587	0.0681305389521913	0.00268190037814523	0.0158617836612556	0.0170697557056915	0.0130506588493076	0.0219388029681946	0	0	0.0252588870076144	0.0694157135762116	0.0731570880120512	0.0681916417039049	0.403665391045057	0	0	0.0295624364660253	0.0494778986731966	0	0.00703702019749189
GSM5176145_Treat	0.00858068220751019	0.0793360802768106	0	0	0	0.137752894510217	0.0214805234197681	0.0197188824579328	0.00742855261205375	0.0548192291136501	0	0.000523257687183064	0.0369743772314079	0.0413604526196134	0.114886766781217	0.339622540201567	0.0316043609845002	0	0.083785456195944	0	0	0.0221259437006251
GSM5176146_Treat	0	0.0546957137002177	0.0695931487988737	0.0217107157239423	0	0.105005890691983	0.0643932580675504	0.0110523455814886	0.00444662639685218	0.0204839744514751	0	0	0.030360134155493	0.0294765638779763	0.0712192480599971	0.360274601468448	0.0399151043357117	0	0.071050195019556	0.00529459609405554	0.00409415713751063	0.036933726438869
GSM5176147_Treat	0.00960802701618714	0.0581181128039239	0.0282784373122392	0	0	0.170771405197674	0	0.0518679827755156	0.0232731476971005	0.00524961758702244	0	0.0607368350618194	0.0436594867208479	0.0751287346973401	0.0693331912974131	0.307918958798868	0.0192482323227482	0	0.0280574620966915	0.0398866091167702	0.00637556876599871	0.00248819073184026
