id	GSM5176138_Control	GSM5176139_Control	GSM5176140_Control	GSM5176141_Control	GSM5176142_Control	GSM1332201_Control	GSM1332202_Control	GSM1332203_Control	GSM1332204_Control	GSM1332205_Control	GSM1332206_Control	GSM1332207_Control	GSM1332208_Control	GSM1332209_Control	GSM1332210_Control	GSM1337304_Control	GSM1337305_Control	GSM1337306_Control	GSM1337307_Control	GSM1337308_Control	GSM1337309_Control	GSM1337310_Control	GSM1337311_Control	GSM1337312_Control	GSM1337313_Control	GSM5176143_Treat	GSM5176144_Treat	GSM5176145_Treat	GSM5176146_Treat	GSM5176147_Treat	GSM5176148_Treat	GSM1332211_Treat	GSM1332212_Treat	GSM1332213_Treat	GSM1332214_Treat	GSM1332215_Treat	GSM1332216_Treat	GSM1332217_Treat	GSM1332218_Treat	GSM1332219_Treat	GSM1332220_Treat	GSM1337327_Treat	GSM1337328_Treat	GSM1337329_Treat	GSM1337330_Treat	GSM1337331_Treat	GSM1337332_Treat	GSM1337333_Treat	GSM1337334_Treat	GSM1337335_Treat	GSM1337336_Treat	GSM1339633_Treat	GSM1339632_Treat	GSM1339631_Treat	GSM1339630_Treat	GSM1339629_Treat	GSM1339628_Treat
ADAMTS13	6.1619995	6.7600287	6.9798527	5.6245169	5.1478977	6.0837745	6.2482524	6.432565	6.1632651	6.168764	5.0815483	6.045552	6.101206	6.0155908	5.8090578	6.6819848	5.2724606	5.2313259	6.3369256	6.7140032	5.3820137	6.5884416	5.4465005	5.1296434	6.9405534	5.95162	6.6993962	5.7214664	5.7679252	5.0841041	4.9940512	5.4456099	6.7333209	6.7748991	4.614299	6.52968	4.9052129	6.59923	6.565058	6.0501355	6.3301906	5.7189717	6.4324789	4.7706465	5.937826	6.1392277	6.6203644	6.1556046	5.4836407	5.6522028	6.4074177	6.308018	5.9345746	6.287114	6.6098814	6.6160496	6.0405853
ADIPOQ	8.6651235	8.0925401	8.0590953	9.3408281	6.2258437	9.3076893	10.041278	8.246675	9.0782958	9.547627	7.2222419	8.444124	7.728175	8.8515686	10.6788703	7.4431154	6.0092395	11.7478449	7.1622576	11.3851813	10.5422573	4.5851857	6.6989011	5.3168792	9.0256069	8.4257708	6.8098599	5.8010115	8.6866014	8.5818084	5.4427912	7.6628397	8.6198902	10.8948995	10.201163	10.139145	10.4745054	8.589034	5.818363	7.8540603	8.9651944	9.6143291	7.9132222	9.2676455	8.3387514	11.533281	6.5080619	9.4602525	6.0965345	5.5832945	8.9662111	9.793646	8.7420829	9.8925482	9.7320937	9.7917729	7.7846821
AGPAT3	6.2203353	6.7854524	5.0627936	6.9397316	6.9930449	6.1401244	6.792434	6.040215	6.6032359	6.540589	4.9660513	5.173527	5.520147	6.5366788	6.4480088	6.5078948	7.1022952	6.6421278	6.4352673	6.9053163	6.3215725	6.738979	6.8412603	6.9034461	6.9180302	7.2441816	6.1847947	6.769898	6.0945836	6.495957	6.245944	6.398741	7.4341622	6.4124906	5.206497	6.119427	6.7125847	6.332544	6.524556	6.8252469	6.1636982	6.6870829	6.323378	6.0986625	6.4785773	5.6558008	6.5769681	5.7275948	6.2083211	5.2856347	7.1052081	6.083996	6.1515281	6.5000128	6.4208566	5.9583953	7.5802055
AGPS	7.9687277	7.4254725	7.7495508	7.9101001	7.3059553	7.7734014	7.9661952	7.589955	7.6426912	7.799707	7.5470344	7.691332	7.120694	7.61507	8.3965592	7.5671208	7.6279619	7.2732466	7.7877035	8.2083089	8.1453868	8.2772603	7.7631252	8.1166006	8.3100044	7.8669071	8.2207706	8.4718691	8.3957515	8.609125	7.983291	7.9021665	8.5673534	7.8692566	7.763487	8.528261	8.441378	8.335301	8.648349	8.3923813	8.2848314	8.3388649	7.8556955	8.3915108	7.8330327	8.1714707	8.6234298	7.5927444	8.6217074	8.2077719	8.3229041	8.578624	8.3476124	7.8542708	8.0093674	8.0754422	8.2081462
AHCY	9.254119	9.1266934	9.1043338	9.0150083	8.7989717	9.2246706	9.0369841	9.114295	9.9169833	8.617669	8.550843	9.35335	8.748259	8.7851301	9.0467322	9.0230697	8.8605308	9.1370336	9.3050886	9.2632654	9.1302604	9.1093224	8.8138644	8.7008355	9.3985214	8.9312083	8.2323061	9.3037556	8.8422592	8.7495005	8.7443039	8.567096	9.1607909	8.7610882	8.953916	9.051988	8.9105191	8.746515	8.623964	9.1609632	8.986687	8.836131	8.7724244	8.9771033	9.517761	9.0586959	9.1181148	9.2515459	8.899561	9.0515887	8.8528279	9.071363	9.1189931	8.7381637	9.0279092	8.9052005	8.6953307
AKR1C1	11.1151411	10.5611743	10.3109136	11.3017217	10.2421311	12.0061128	11.5859958	11.993022	12.0995297	11.252583	11.1556119	10.839605	11.371407	12.1808174	11.9627031	10.3809032	11.5065671	11.5386945	10.6845883	11.9738009	12.3673073	11.1493251	11.3870551	11.1718599	11.4516251	12.5359365	11.1506114	11.1434305	11.1093193	11.3930742	11.4362754	11.2166637	10.5614481	11.679294	12.055869	11.053697	12.1652453	10.781854	10.54097	10.5984755	11.0061279	10.8474907	9.9944342	11.3105362	11.4150266	12.2762885	11.2340501	11.4584515	10.9205214	11.4655301	11.1797546	11.82121	11.799633	11.5928111	11.713568	11.9615536	10.6038551
AKR1C3	9.148657	8.8187757	7.2618865	9.3014731	7.9308131	10.4558294	7.7693015	9.642788	9.3820024	9.003526	9.087971	8.899201	8.645511	9.4343826	10.1776196	8.8136929	9.0964543	9.8119699	7.1770186	9.6902919	10.0253433	9.8114095	9.5805263	9.4086735	9.3945042	9.7743312	9.379071	9.5792566	9.7230137	9.6306429	9.5448337	9.7933201	9.2091706	10.8209437	10.552404	9.670883	10.1791594	8.881729	9.001826	9.2588686	8.7181925	9.209988	8.3105593	9.6771375	10.1832473	10.4461515	9.4045363	10.4068308	9.5692369	10.0119692	9.1800049	10.02606	9.9856893	9.2126024	9.9102058	10.0461625	9.5325004
ALDH3A2	9.5914241	9.7525597	9.3666242	9.2638155	9.1911744	9.4279474	9.0967369	9.255062	8.6354151	8.848412	9.0133172	8.205383	8.390005	8.8594786	9.0378855	8.3181985	9.1458207	9.5767848	8.0742135	8.5165274	9.5153131	9.2680842	9.6100552	9.6556345	9.5032542	8.7522379	8.8044707	9.4721461	8.8868515	8.6882808	8.9546821	9.1896589	9.6258932	9.8396033	9.629834	9.826136	10.0126545	9.367517	9.5055	9.9064323	9.8614644	9.8180773	9.3932236	9.5623675	9.5153131	9.9587621	9.1400072	9.5017072	9.2654973	9.5173774	9.2259867	9.520842	9.7920092	9.6025273	9.9593101	9.8547194	9.2051336
ALOX12	3.1117902	3.1549702	5.5418622	4.9310795	4.0798483	3.8182201	3.9585224	6.447354	5.5896249	3.647074	3.7832642	4.598773	3.538956	3.4889779	4.4390348	5.9862326	5.8665023	4.3017347	4.3987532	5.9318261	5.1928284	5.802925	3.0749718	3.4384768	3.2755804	3.7117631	3.9055997	5.3610206	5.9101933	3.7543154	5.4720526	3.5856713	6.113961	5.8824493	4.725647	4.007592	3.4839857	4.118204	4.168573	4.1669717	5.6265794	5.3966036	2.9942087	3.7172996	3.7088904	5.1628842	3.3631908	5.1580077	4.731462	5.1323037	4.6191297	5.227422	4.227505	1.9192678	4.225241	5.6040554	3.9946131
ALOX12B	4.4173696	3.62171	3.1014365	3.0371114	3.3226499	2.9023856	2.983756	2.703054	3.5402685	4.258693	3.7696679	3.556748	4.992039	3.1251375	2.5650945	3.8254587	3.5837444	5.4543341	3.5318748	3.7354858	3.344902	3.7792721	3.2266231	3.5377526	2.5483433	3.1152778	2.4839255	3.8555937	4.0840566	3.8974648	3.4952013	3.6149124	3.1597851	3.5974789	3.740686	2.973039	3.0276222	3.43882	3.732768	3.2130898	3.4132047	3.5440196	3.0596934	3.6174819	3.4328342	3.4893368	3.1835269	3.9339869	3.4188718	3.9869631	3.3032997	3.96178	3.2732135	3.5922637	4.0111223	3.2579596	2.468576
ALOX15	3.4835184	2.7961148	4.3722369	3.040378	4.2583367	2.9521558	2.8426652	2.605711	2.4102899	3.6708	4.0531077	4.033152	2.95009	3.2010922	3.2636641	3.3369954	4.0112649	5.168012	2.6211708	2.6469055	4.0530458	3.9193128	2.3609531	2.6326421	3.4632926	2.6335062	3.4503534	2.5254463	3.2170395	2.391799	2.747276	2.6527547	2.9678001	2.6166634	3.84981	2.324372	2.9981198	3.832826	3.601772	3.2584953	4.0320505	2.666741	2.6857674	2.5542776	3.1379007	3.1070873	3.4802605	2.2894595	3.1272899	3.3404169	2.958392	2.781575	3.5758643	2.5642705	3.4781196	2.9052283	1.8263171
ALOX15B	6.9762776	5.9423325	6.5023575	6.4727638	5.04404	4.2022559	7.2253773	7.12937	5.4683294	6.503044	6.6623345	7.285531	7.010977	7.0311087	6.8995034	6.1908607	6.2397997	6.7845804	7.0063151	6.2065618	7.6183211	6.5514046	6.068298	6.6478366	6.0832348	6.5119749	7.4115877	7.1960458	6.6920138	6.0087137	4.3795297	6.1678899	6.9306037	5.5753872	6.302505	5.438136	5.5785218	5.326927	6.941543	5.8269875	6.445754	6.5099323	6.0538251	6.2545929	5.5344056	6.4248325	5.8160656	6.0156477	6.9055638	5.7205755	6.1931875	6.645618	6.8586932	5.1275776	6.3154715	6.1980602	4.3771704
ALOX5	7.3692096	7.4546961	7.6048194	7.7418872	7.3976368	8.1805271	7.1385463	7.31588	7.530762	6.94745	7.336221	7.373064	6.7442	7.3592322	7.2024485	7.4366219	7.7058275	6.474798	8.7277626	8.1511861	7.1318629	7.3827845	7.8556295	7.6974465	7.9378554	8.8103612	8.4200723	8.0633269	8.3771378	7.7318608	8.169213	7.6741425	7.9235643	8.4376369	7.289856	8.00451	8.1561807	7.758175	8.252598	7.4094779	7.6434227	7.8118671	8.0219464	6.9736116	7.9230207	7.1559592	8.0050952	8.2475197	8.4945161	7.4571606	8.7262527	7.949077	7.4202937	6.9741202	7.4417009	7.1879589	7.5537475
ALOXE3	6.8392897	6.6929745	6.1467706	6.2739177	6.5155416	5.7632522	6.5131817	6.683314	6.3772733	7.006416	7.0471638	7.028948	7.17832	6.2751808	6.514256	6.8321974	6.7816256	6.8628205	6.6926733	6.7411625	6.2820205	5.0309819	6.6254473	6.5236502	6.7872987	7.0220776	6.6576705	6.8123049	6.0969532	6.1935712	6.4713151	7.3152307	6.2954533	6.5647411	6.503042	6.548129	5.5945569	6.112713	6.289595	6.3096663	6.5184036	6.8475427	6.744798	6.6004516	5.4887293	6.4676256	6.6278547	6.8127177	6.6731165	6.815418	6.2264519	6.707124	6.4190772	6.2587595	6.6656607	6.4993952	5.7781844
AMN	7.2825545	6.6889142	6.0194735	6.8728054	5.6465677	5.9415441	7.2382846	5.162302	7.324659	7.69581	6.7003243	6.94942	7.152526	7.3118961	6.1320022	7.4809527	6.653297	6.9155835	7.2477837	6.7473284	7.0793204	7.2959625	8.2329011	7.8882978	8.0504686	7.9724088	7.9869726	5.5964217	6.8203376	7.35424	7.5093388	4.9814245	6.8701512	6.6374659	5.580487	7.012352	6.686471	7.844044	7.281744	7.0267638	8.2331389	6.7770377	6.6847659	6.9513653	6.8846816	5.9082643	7.2193457	6.5358954	6.3573347	6.462729	7.5129805	6.117565	6.9141944	7.2878679	7.0096945	6.4602536	7.9181421
AQP3	6.6289548	7.6555338	7.0866493	7.3628042	7.6353738	6.7402614	8.0024297	8.604913	5.8395794	7.293761	7.2835707	7.247665	7.823232	7.0577326	7.4916292	7.1476659	7.4362993	5.8719941	6.6617221	8.6074917	7.0620384	7.328275	7.3769073	6.9111516	8.3596432	7.2070969	7.1946535	7.4469856	7.7914517	8.1766407	8.0815821	7.9032987	7.9858683	7.944038	7.28213	6.985846	6.9587075	7.52362	7.432696	7.2489591	7.0232362	7.558568	7.2756355	7.2842359	7.9992568	6.746571	8.0079352	7.4715438	7.7302983	7.0623852	8.8497326	7.254142	6.8955933	6.5920524	7.3198721	6.6517795	7.9775464
AQP5	4.676538	3.7819289	3.7799519	3.3456215	3.5144441	3.992678	4.592263	3.03544	3.7402213	3.173884	2.8152607	3.262732	3.393038	4.440691	3.7865433	2.8608416	3.551167	3.6135082	3.9699897	3.9000066	3.8117839	2.9231621	4.479425	4.2912457	4.0315789	4.4522543	2.7641448	4.5136971	3.6066768	2.8007393	3.6817904	3.2365352	4.0055499	2.9581046	3.593155	4.775244	3.6552585	2.950441	3.0034	3.6023958	4.7822594	2.960181	2.7245288	3.9272347	3.0875459	4.3848251	3.4259885	4.8793621	4.7308617	3.1074149	4.0459742	2.554216	2.7885927	3.4012694	3.4405526	4.4248898	4.4308179
AQP8	4.6965493	6.2251419	4.9389103	6.9276244	5.0821058	6.4924452	6.0415642	4.692891	6.7181048	6.370006	6.4801695	5.85805	6.354018	6.0950888	6.2888046	6.5827575	6.1116278	4.5252364	6.8349071	5.8856219	5.5360539	4.7873736	6.5482936	6.8723515	5.3129026	4.7351438	6.9465537	6.4877038	5.1094691	5.4823882	5.7404094	4.7873695	4.0168748	6.2492997	4.951358	4.913243	4.359121	5.851968	5.22945	4.9471019	6.5093456	5.5390332	5.440055	6.4576048	4.4729528	5.8395809	4.302603	5.6207354	6.2250407	5.7148506	6.3120509	6.239065	5.7998623	5.9546793	4.9741606	5.6820926	4.616358
AR	6.9023408	6.6842623	6.8228037	6.3734772	6.367876	6.6309294	6.1961645	6.808123	6.3990627	7.15047	7.3000269	6.86467	6.94522	7.3433317	7.4119574	6.0993275	6.5173906	7.2668902	6.3314993	6.8518837	7.4679826	7.193666	7.066072	7.193872	6.5982074	7.2328783	6.6508447	6.2986399	6.5902396	6.3111085	5.9109304	7.0296299	6.7710915	6.2588502	5.946006	6.631532	6.4352165	6.093923	6.826647	6.5727911	7.4405613	7.1278152	6.6422076	7.0133588	6.7471414	7.1652297	6.2877069	6.946169	7.4176965	6.5175995	6.8373094	7.019055	7.3356585	7.011278	6.9423277	7.4476795	6.3213586
ARF6	9.3016198	9.4731623	9.7491061	9.5260927	10.162316	9.8102079	9.4588634	9.946255	10.0359646	9.4908	9.7214445	9.579694	10.200139	9.5448982	9.4459425	9.8182571	10.145352	9.5967614	10.7500469	10.4616426	9.5046422	9.0884991	9.411356	9.4542144	9.5823513	9.6812614	9.6389679	9.5186859	10.0472837	9.5730909	9.4074385	9.5954635	9.8456533	9.8953239	9.665308	9.904375	9.9782961	9.192612	9.351286	9.3667285	9.0337611	9.4540052	9.2168989	9.4023521	9.4674501	9.0725724	9.7434403	9.5546108	9.7346672	9.2765837	9.356075	9.548314	9.2377105	9.384455	9.5008063	9.4061614	9.2022818
ARNTL	7.971081	8.3297303	7.8364883	6.5615354	7.1082631	7.9594331	8.2189898	7.044654	8.1429445	7.518877	7.6130082	6.784781	7.595024	8.1461071	7.2101128	6.5702631	6.9069362	8.5506082	8.4209161	8.3955133	8.3454648	5.1846033	6.8044175	6.3508131	7.0933679	6.2640257	6.0821506	6.2319476	6.0472746	4.9533025	6.3850151	4.8096147	5.9325811	5.5951403	7.579042	6.991648	6.4600229	5.784902	6.543974	6.2843989	5.1196218	6.9492662	5.8851128	5.7926052	6.2830496	6.4977052	6.6428457	6.9546766	6.6663337	6.0159926	7.1920543	5.933717	5.9072265	7.0774796	5.3484882	5.7825607	6.9238647
ASMTL-AS1	2.490421	2.2926753	2.3096699	2.3337629	2.4434251	2.1639464	2.2320956	2.441008	2.215073	2.565068	2.232639	2.576447	2.438335	2.4308434	2.1675893	2.3571315	2.4700317	2.4656738	2.5498675	2.3895739	2.0962658	2.9097995	3.8152262	2.3333753	2.5308847	2.7382497	2.1052671	2.2868039	2.3377939	2.3261633	2.6287464	2.1621322	2.0470824	2.4317263	2.578324	2.47161	2.6491279	2.4767	2.506573	2.0722281	2.0418054	2.1857151	2.1840221	2.2574712	2.1029641	2.2588714	2.0987514	2.3930048	2.2791262	2.2157191	2.4295254	2.654736	3.0664696	2.2713366	2.1888203	2.1538647	2.4541914
ATF2	7.7569475	7.5759934	8.0095449	7.8658776	7.5558218	8.649967	8.0161569	7.668064	7.4515452	7.503765	7.9500585	7.697186	7.2971	7.60954	7.1855214	7.9082974	7.5480861	8.1854561	7.741431	8.2255585	7.972514	7.5789494	7.5003462	7.4379404	7.1690364	7.0551872	7.5737104	7.5427593	8.0389693	7.9582479	7.8603816	7.3685133	7.7197529	7.4129425	7.930377	8.044818	7.6587463	7.887929	7.601059	7.7302219	7.0584732	7.7859358	7.637476	7.3914936	7.5599902	7.850223	7.4914142	8.0282585	7.3880028	8.1376779	7.0022688	7.974672	7.9074243	7.7908474	7.8837432	7.9101977	7.7408731
ATF3	8.5626761	10.7699394	9.9844727	8.5169633	10.215584	9.8681402	10.3563821	10.538258	10.4903249	11.949365	11.5391285	10.982119	11.075171	9.9791805	10.6170379	10.1502547	8.8062975	8.3910915	9.7275421	10.8304837	8.7584631	7.2460044	11.2995255	11.4761092	12.004247	9.5218311	8.1397477	7.8317412	8.1320512	8.2493786	8.2038114	8.9963929	8.2530475	7.7687763	9.869398	7.392844	8.087809	7.704264	7.793892	7.6517213	7.6408387	8.3441874	7.8873129	8.0202344	8.4390542	7.9912693	7.5376504	8.3238154	8.3417253	8.1609536	6.987319	7.626309	11.8557926	6.9339416	8.4446764	7.506659	7.7824059
ATF4	11.8628511	12.85283	11.7342496	11.5623283	11.6334207	12.2500411	12.4970846	11.956401	12.2093721	12.200352	11.9947537	11.885672	12.633257	11.8510241	12.5334281	11.9051377	11.8333078	11.5383564	12.8030555	11.8333078	12.4643229	11.9051377	12.002986	11.9698151	11.8175628	11.727633	11.9641901	12.5422679	11.4429897	11.4194214	11.7645872	12.1828703	11.3623651	11.6557652	11.655765	11.190365	11.7809085	11.3739	11.227862	11.6675346	11.9311364	12.155231	11.579641	11.2135248	11.9834525	12.0351331	11.078442	11.2164661	11.7630337	11.7116489	11.3981954	12.02546	11.7898679	11.6860163	11.3015203	11.8047222	11.3613428
