id	Type
ACLY	FRG
ACN9	FRG
ACO1	FRG
ACO2	FRG
ACOT11	FRG
ACOT13	FRG
ACOT7	FRG
ACOT8	FRG
ACOT9	FRG
ACOX1	FRG
ACOX2	FRG
ACOX3	FRG
ACOXL	FRG
ACP1	FRG
ACP2	FRG
ACP5	FRG
ACP6	FRG
ACPP	FRG
ACR	FRG
ACRV1	FRG
ACSBG1	FRG
ACSBG2	FRG
ACSF2	FRG
ACSL1	FRG
ACSL3	FRG
ACSL4	FRG
ACSL5	FRG
ACSL6	FRG
ACSM1	FRG
ACSM3	FRG
ACSM5	FRG
ACSS3	FRG
ACTA1	FRG
ACTA2	FRG
ACTB	FRG
ACTC1	FRG
ACTG2	FRG
ACTL6A	FRG
ACTL6B	FRG
ACTL7A	FRG
ACTL7B	FRG
ACTL8	FRG
ACTN1	FRG
ACTN2	FRG
ACTN3	FRG
ACTN4	FRG
ACTR10	FRG
ACTR1A	FRG
ACTR1B	FRG
ACTR2	FRG
ACTR3	FRG
ACTR3B	FRG
ACTR5	FRG
ACTR6	FRG
ACTR8	FRG
ACVR1	FRG
ACVR1B	FRG
ACVR2A	FRG
ACVR2B	FRG
ACVR2B-AS1	FRG
ACVRL1	FRG
ACYP1	FRG
ADA	FRG
ADAM10	FRG
ADAM11	FRG
ADAM12	FRG
ADAM15	FRG
ADAM17	FRG
ADAM18	FRG
ADAM19	FRG
ADAM2	FRG
ADAM20	FRG
ADAM21	FRG
ADAM22	FRG
ADAM23	FRG
ADAM28	FRG
ADAM30	FRG
ADAM3A	FRG
ADAM5	FRG
ADAM7	FRG
ADAM8	FRG
ADAM9	FRG
ADAMDEC1	FRG
ADAMTS1	FRG
ADAMTS12	FRG
ADAMTS13	FRG
ADAMTS2	FRG
ADAMTS20	FRG
ADAMTS3	FRG
ADAMTS5	FRG
ADAMTS6	FRG
ADAMTS7	FRG
ADAMTS8	FRG
ADAMTS9	FRG
ADAMTSL2	FRG
ADAMTSL3	FRG
ADAMTSL4	FRG
ADAP1	FRG
ADAP2	FRG
ADAR	FRG
ADARB1	FRG
ADARB2	FRG
ADAT1	FRG
ADCK2	FRG
ADCK3	FRG
ADCK4	FRG
ADCY1	FRG
ADCY10	FRG
ADCY2	FRG
ADCY3	FRG
ADCY6	FRG
ADCY7	FRG
ADCY8	FRG
ADCY9	FRG
ADCYAP1	FRG
ADCYAP1R1	FRG
ADD1	FRG
ADD2	FRG
ADD3	FRG
ADD3-AS1	FRG
ADGB	FRG
ADH1A	FRG
ADH1B	FRG
ADH1C	FRG
ADH5	FRG
ADH6	FRG
ADH7	FRG
ADI1	FRG
ADIPOQ	FRG
ADIPOR1	FRG
ADIPOR2	FRG
ADIRF	FRG
ADK	FRG
ADM	FRG
ADM2	FRG
ADNP	FRG
ADNP2	FRG
ADO	FRG
ADORA1	FRG
ADORA2B	FRG
ADORA3	FRG
ADPGK	FRG
ADPRH	FRG
ADPRM	FRG
ADRA1A	FRG
ADRA1B	FRG
ADRA1D	FRG
ADRA2A	FRG
ADRA2B	FRG
ADRA2C	FRG
ADRB1	FRG
ADRB2	FRG
ADRB3	FRG
ADRBK1	FRG
ADRBK2	FRG
ADRM1	FRG
ADSL	FRG
ADSS	FRG
ADTRP	FRG
AEBP1	FRG
AEN	FRG
AES	FRG
AF007147	FRG
AF070581	FRG
AF090939	FRG
AF198444	FRG
AFAP1	FRG
AFF1	FRG
AFF2	FRG
AFF3	FRG
AFF4	FRG
AFG3L2	FRG
AFM	FRG
AFP	FRG
AFTPH	FRG
AGA	FRG
AGAP1	FRG
AGAP2	FRG
AGBL2	FRG
AGBL3	FRG
AGBL5	FRG
AGER	FRG
AGFG1	FRG
AGFG2	FRG
AGGF1	FRG
AGK	FRG
AGL	FRG
AGMAT	FRG
AGO1	FRG
AGO3	FRG
AGO4	FRG
AGPAT1	FRG
AGPAT2	FRG
AGPAT3	FRG
AGPAT4	FRG
AGPAT5	FRG
AGPS	FRG
AGR2	FRG
AGRN	FRG
AGRP	FRG
AGT	FRG
AGTPBP1	FRG
AGTR1	FRG
AGTR2	FRG
AGXT	FRG
AHCTF1	FRG
