geneNames	GSM1339618	GSM1339619	GSM1339620	GSM1339621	GSM1339622	GSM1339623	GSM1339624	GSM1339625	GSM1339626	GSM1339627	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633
XAB2	151.5	219.2	220.9	242.3	209.6	188	188.7	161.3	67.2	133.7	234.8	223.2	320.3	149	133.2	154.1
XAF1	306	226.7	410.4	338.6	194.6	303.3	305.8	344.3	229.6	373.6	217.4	128.2	194.3	271.7	163	104.3
XBP1	4145.9	2277.2	1078.3	2911.9	5250	4085	1048.7	3685.7	5787.5	1742.2	5433.9	1590.9	1430.7	1138.5	1851.5	1431.6
XCL1	99.85	53.05	141.8	106.15	204.1	126.25	145.45	337.4	280.6	156.9	131.4	74	68.2	70.15	56.3	77.25
XCR1	21.9	11.6	19	17.3	77.6	86.7	52.8	108.3	68.7	26.8	22.5	81.5	15.5	4.7	5.7	21.1
XDH	264.1	333.4	357.1	373.6	324	275.4	418.1	375	280.3	185.3	155.1	311.7	397	214.2	294.1	302.8
XIAP	110.05	101.75	112.55	112.6	153.55	104.35	84.85	177.75	164.4	121.75	113.1	136.1	124.75	111.65	111.35	112.75
XIST	65.95	1504.15	1350.3	51.4	753.9	767.4	80.7	966.1	350.6	573.25	997.55	1177.2	1338.9	1428.65	1180.45	1907.65
XK	81.8	65.6	58.5	41.1	74.6	75.1	63	76	69.5	50.3	62.1	58	66.5	46.2	94.3	65.6
XKR8	942.7	824.4	693.1	785.8	611.8	857.9	1199.8	768.9	665.8	971.4	749	827.9	645	637.9	857.6	947.2
XPA	525.4	577.5	505.3	388.1	357.4	323	576.3	382.7	491.1	608.5	359.8	529.2	463.7	621.3	676.2	691.4
XPC	1066.4	514.1	563.8	758.2	775.9	876	1025.1	721.5	500.8	486.8	460.7	766.3	1014.3	626.4	864	543.3
XPNPEP1	833.55	573.45	729.7	750.25	593.7	596.6	767.3	755.45	578.85	843.15	616.5	637.05	570.05	709.65	678.25	648.4
XPNPEP2	83.4	217.8	216.15	199.45	163.85	246.25	419.3	145.45	88.45	148.05	181.5	261.65	284.35	123.65	273.05	124.45
