geneNames	GSM5176138	GSM5176139	GSM5176140	GSM5176141	GSM5176142	GSM5176143	GSM5176144	GSM5176145	GSM5176146	GSM5176147	GSM5176148
LAP3	384.855	1051.07	315.576	333.912	399.174	575.615	430.101	1230.64	545.06	813.766	412.214
LAPTM4A	5769.68	29724.2	10373.4	8326.9	9628.88	10559.8	8213.91	20273.3	11216.6	11707.5	7219.65
LAPTM4B	667.265	2219.52333333333	773.728666666667	589.820666666667	730.301333333333	1249.66066666667	1094.38466666667	2927.01666666667	1097.968	1385.593	774.127666666667
LAPTM5	344.8075	1165.569	216.9115	454.5665	295.0495	1221.5005	1253.5795	1324.887	591.481	642.465	256.0515
LARGE	180.83835	450.2118	99.01925	98.41535	150.101	274.2283	241.318	421.3813	105.38725	174.55775	113.0841
LARP1	987.332666666667	2716.73333333333	942.213	608.773	987.758666666667	1083.40566666667	1089.30133333333	1640.684	638.095666666667	871.669333333333	530.784
LARP4	206.1984	735.7905	170.31055	169.77495	249.8353	307.8415	250.3745	818.0345	270.3122	304.22395	154.9998
LARP4B	192.13926	771.1852	273.86696	194.93884	232.810972	265.78482	353.51374	717.1294	264.90706	257.9622	190.27284
LARP6	1060.99	2903.75	1039.71	700.903	924.453	1291.5	906.938	968.51	476.231	542.236	279.475
LARP7	306.3635	966.1535	419.405	250.588	236.74685	449.929	448.088	792.842	358.9065	414.0955	214.6596
LARS	712.514	1436.45	265.951	640.41	741.367	911.373	2112.16	2607.25	877.926	1334.95	614.219
LARS2	143.1085	408.4315	120.6795	135.0011	116.1385	187.9105	139.819	433.5145	218.7585	164.8	86.46535
LAS1L	621.918	1107.9	363.418	399.55	609.174	464.122	332.155	671.262	332.208	184.385	243.175
LASP1	568.761	2674.55	561.21	495.447	605.094	1629.5	1257.94	3316.25	817.906	1091.35	621.534
LAT	155.81055	382.723	65.4998	68.46855	117.90835	91.12955	243.8433	309.3275	104.26375	113.9009	50.52625
LAT2	159.0915	490.1795	85.85525	139.1488	81.2797	314.1156	182.0401	336.4995	153.102	169.5735	79.44595
LATS1	115.118	245.926	104.465	89.2971	81.921	240.614	123.646	60.2014	72.1092	82.0522	59.3316
LAX1	251.117	648.53	242.423	118.933	156.281	346.716	280.597	648.066	233.576	198.235	37.4222
LBH	651.153	3899.98	810.628	795.482	1023.81	1650.78	1988.29	4311.41	1552.38	1953.63	1066.41
LBP	143.6538	300.50735	107.8316	126.8645	134.99395	178.39885	190.61065	301.13225	152.70535	139.8986	59.06535
LBR	15.9987	353.696	168.499	141.54	173.754	285.644	232.917	640.863	285.036	243.192	25.7169
LBX1	14.3971	31.6186	8.51756	9.22252	6.76284	52.0221	24.0408	28.344	4.35569	6.66792	27.344
