id	logFC	AveExpr	t	P.Value	adj.P.Val	B
GPRC5A	-1.01703855525	8.65120371052632	-3.82968973674175	0.000316212624951657	0.00354736766766713	-0.0871843174429081
BTC	1.16053580425	5.7091280245614	3.79914527832901	0.000349052971176811	0.00379213565569405	-0.179901702768311
SGCA	1.28697344475	4.42228013157895	3.76018736045988	0.000395707187099988	0.00415509103241059	-0.297516252036772
OLR1	1.126156945	7.61911564035088	3.74647611340499	0.000413505993488735	0.00429881790082573	-0.33873765722725
ANGPTL7	-1.753700356125	6.75572439473684	-3.73786151552714	0.000425078339562464	0.00439364333182027	-0.364590068981694
AF090939	-1.010505789875	5.45693527192982	-3.73244155184302	0.00043251747462744	0.00445219792586146	-0.380836940608059
TXLNGY	-1.35286169175	4.85369254736842	-3.72146386351789	0.000447968547292579	0.00455888834665635	-0.413699852872319
IER3	-1.042812097625	10.5033972614035	-3.71852869210507	0.000452188484352641	0.00458695319454886	-0.422476652489347
CLTC-IT1	-1.221377681625	3.6266747	-3.69744955682373	0.000483631416924868	0.00484326178736891	-0.485383853330644
NDC80	1.068150261125	4.69106909649123	3.69451126359469	0.000488177051772334	0.00487322644840035	-0.494135359065718
SNORA21	-1.020075860875	4.31471469649123	-3.64060107861965	0.000579195257122927	0.00558627370205879	-0.653942332737643
IGLV1-44	1.603703820125	7.31954725964912	3.62432942233207	0.000609711008371614	0.00581214436064646	-0.701890562324051
ANKRD11	-1.03985196625001	6.74134001754386	-3.62355113878382	0.000611208396765622	0.00581458905429494	-0.704180601399659
CXCL8	-1.86452846175	7.51404334736842	-3.61987238683606	0.000618333806656492	0.00586651974289528	-0.715000887977292
IGKC	1.29527902125	8.11459534736842	3.50434174042478	0.000887015949698482	0.00763917373837786	-1.05126667771086
CRY2	-1.2692666755	6.04626242280702	-3.48147811893387	0.000951970145290647	0.00804940794009909	-1.11698547898307
MMP13	1.32808838825	4.75466304912281	3.47759969795528	0.000963427398108198	0.00811977963394956	-1.12810591645517
CD52	1.00770701049999	7.28194050350877	3.46677983280814	0.000996086808532572	0.00833259818231114	-1.15908671560924
CYP4B1	-2.27218907075	5.97266243508772	-3.44257772499595	0.00107298637528788	0.00885744640567163	-1.2281573622286
DNAJC3	-1.018480560125	5.58125027192983	-3.42607494804336	0.00112861663025834	0.00918409953079229	-1.27507310313864
HSD11B2	1.14561675375	4.95483120526316	3.42169286628884	0.00114384173047164	0.0092613741883821	-1.28750603401234
IL1R2	-1.17168727	5.2623441754386	-3.41544642586541	0.00116588129516417	0.00938990917311935	-1.30521044836417
COL11A1	1.19159804625	7.43232788421053	3.39058323768646	0.00125766050964731	0.0099534065333551	-1.37546878838806
ACADL	-1.02414856175	5.30189687192983	-3.38712246744055	0.00127096534922678	0.0100239303595837	-1.38522126151728
GPR1	1.090041498875	7.62653627017544	3.36539355108719	0.00135759554382867	0.0105284974560952	-1.44630204720531
MAOA	-1.0512679245	8.61568241052632	-3.35901823345052	0.00138405476348419	0.0106612149614485	-1.4641735434268
CDON	1.041009291375	6.4429276368421	3.33403261998628	0.00149252716335021	0.0112684902802157	-1.53399508085459
MMP9	1.09939160725	9.13035332982456	3.28508435355067	0.00172872137807993	0.0126928003815956	-1.66975896739681
ERAP2	1.27467547825	7.03753411403509	3.27517528976313	0.00178064444366587	0.0129602821804637	-1.69707689459206
STMN2	1.063073127625	5.54251487192982	3.2662539751422	0.00182864635239083	0.013225276328415	-1.72162353621692
ARC	-1.163258952125	4.63488876666667	-3.19552865633882	0.00225468553364789	0.0153426215163849	-1.91458900992734
SELE	-1.142955131875	6.48593253859649	-3.13645830540594	0.00268031471163175	0.0174171874684387	-2.07349904862846
IGLL3P	1.019437065875	8.42967420175438	3.09660884696316	0.00300881257421434	0.0189588029785904	-2.17951972406408
DUOX2	-1.0073869905	5.19013643684211	-3.09658463080306	0.00300902319094105	0.0189588029785904	-2.17958385934127
PMAIP1	-1.000409991375	6.05914155263158	-2.97160912116785	0.00429998663415109	0.024807463119691	-2.50575903357588
IGJ	1.594438075375	6.48798711403509	2.86883246887263	0.00572986416016066	0.0308311901722539	-2.76660861854875
LIF	-1.15555189875	6.97022438947368	-2.79796555131092	0.00695963047853949	0.0357468044390968	-2.94246806200639
FOSL1	-1.16667479375	6.26435977719298	-2.72978063367972	0.00836818841593669	0.0412751683345808	-3.10851470712886
PTX3	-1.078411756375	6.96104922807017	-2.65273888907159	0.0102714349286648	0.0480484780390845	-3.29232698941524
