"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"THBS3.2",8.47974309707067e-68,-0.988518863146429,0.049,0.542,1.81610657909963e-63,"DC","THBS3"
"ACKR3.2",9.67785112377993e-68,-1.31112469145249,0.062,0.556,2.07270537517995e-63,"DC","ACKR3"
"OSR2.2",1.33335257777921e-67,-1.19566017845057,0.046,0.538,2.85564121582973e-63,"DC","OSR2"
"PKM.2",1.52738597923173e-67,-0.891869413798743,0.895,0.969,3.27120255172061e-63,"DC","PKM"
"SLC39A7.2",1.81031947396465e-67,-0.897995487950225,0.135,0.636,3.87716121739009e-63,"DC","SLC39A7"
"TCEB2.1",2.62584975525759e-67,-0.75761596122133,0.714,0.931,5.62378242083519e-63,"DC","TCEB2"
"MEDAG.2",2.9672220402202e-67,-1.04292266221192,0.038,0.536,6.3548994435396e-63,"DC","MEDAG"
"UQCRQ.1",3.68843966875858e-67,-0.81617154582203,0.59,0.894,7.89953123858026e-63,"DC","UQCRQ"
"RPS10.2",6.48765200374888e-67,0.696503258684767,0.984,0.971,1.3894604296429e-62,"DC","RPS10"
"SPCS2.2",1.64220291896807e-66,-0.852570722587167,0.472,0.851,3.51710599155392e-62,"DC","SPCS2"
"LGALS3BP.2",1.83630457983198e-66,-1.39667391851451,0.073,0.551,3.93281351862615e-62,"DC","LGALS3BP"
"CCL4.2",1.89892200079721e-66,2.14222534053929,0.652,0.345,4.06692124910738e-62,"DC","CCL4"
"PDGFRL.2",3.42401179394643e-66,-1.35954964489119,0.073,0.558,7.33320605909507e-62,"DC","PDGFRL"
"P4HA2.2",4.54530422211478e-66,-0.889748778656323,0.049,0.534,9.73467805250322e-62,"DC","P4HA2"
"MGST1.2",5.49723633454492e-66,-1.14444166833917,0.065,0.555,1.17734310576949e-61,"DC","MGST1"
"TMEM45A.2",7.18033854569036e-66,-0.859014257004531,0.03,0.518,1.5378131063305e-61,"DC","TMEM45A"
"PDPN.2",7.57567324643466e-66,-0.969736290047229,0.046,0.531,1.62248193918891e-61,"DC","PDPN"
"TSHZ2.2",8.6147767133491e-66,-1.08324441341944,0.024,0.512,1.84502672869798e-61,"DC","TSHZ2"
"CTTN.2",1.30416954305327e-65,-0.904059369194686,0.04,0.528,2.79313991035719e-61,"DC","CTTN"
"NABP1.2",1.4352160687387e-65,0.862192606552339,0.534,0.212,3.07380225441768e-61,"DC","NABP1"
"NEDD8.1",6.20735586584497e-65,-0.773911540292971,0.58,0.885,1.32942940578802e-60,"DC","NEDD8"
"VAMP2.2",6.71222538620962e-65,-0.891886757151136,0.261,0.738,1.43755731096451e-60,"DC","VAMP2"
"ERLEC1.2",7.49112550347082e-65,-0.877634858042352,0.148,0.631,1.60437434907835e-60,"DC","ERLEC1"
"THAP2",1.01754479263228e-64,1.0644003340263,0.474,0.173,2.17927568238055e-60,"DC","THAP2"
"NDUFAF3.1",1.44945774677982e-64,-0.840024036552508,0.194,0.682,3.10430365627833e-60,"DC","NDUFAF3"
"ARL6IP5.2",1.54771102428834e-64,-0.907573791232702,0.647,0.915,3.31473270071835e-60,"DC","ARL6IP5"
"CFI.2",1.56191433282257e-64,-1.1448934207124,0.038,0.512,3.34515192660611e-60,"DC","CFI"
"ECM2.2",1.92267047162395e-64,-1.05194119590276,0.04,0.522,4.11778334907702e-60,"DC","ECM2"
"MRPL51.2",2.70905500622718e-64,-0.821947040834894,0.329,0.781,5.80198310683674e-60,"DC","MRPL51"
"SIVA1.2",3.97548019515309e-64,-0.836802890259558,0.259,0.72,8.51428593395937e-60,"DC","SIVA1"
"KDELR1.2",4.06654289603205e-64,-0.855182155841477,0.342,0.766,8.70931492043183e-60,"DC","KDELR1"
"HNRNPC.2",4.58212573536281e-64,0.84532245570346,0.93,0.829,9.81353868742652e-60,"DC","HNRNPC"
"KDM6B.2",1.05523795117892e-63,0.900138283770832,0.844,0.555,2.26000312003988e-59,"DC","KDM6B"
"DDR2.2",1.1259747794781e-63,-0.853158161048007,0.032,0.51,2.41150018520825e-59,"DC","DDR2"
"THBS4.2",1.3485912752114e-63,-1.30267876612937,0.078,0.543,2.88827793412026e-59,"DC","THBS4"
"TMED10.2",1.40376600009134e-63,-0.873314330812226,0.35,0.769,3.00644564239561e-59,"DC","TMED10"
"SSR4.2",1.54892935857374e-63,-0.860064736569909,0.739,0.914,3.31734200725738e-59,"DC","SSR4"
"GJA1.2",1.94016755164957e-63,-0.879141751868558,0.027,0.502,4.15525684536789e-59,"DC","GJA1"
"STMN1.2",2.37529049862622e-63,0.788117293080426,0.472,0.161,5.08715966090778e-59,"DC","STMN1"
"PSMB5.2",3.17589650675757e-63,-0.84523237894209,0.302,0.733,6.80181754852269e-59,"DC","PSMB5"
"RGS16.2",4.03902522664461e-63,-1.46975880015967,0.132,0.598,8.65038032790476e-59,"DC","RGS16"
"CD44.2",5.52075794929387e-63,0.809956106417112,0.973,0.908,1.18238073000027e-58,"DC","CD44"
"IGFBP5.2",5.65380059033806e-63,-2.39385818216977,0.075,0.537,1.2108744724327e-58,"DC","IGFBP5"
"OSTC.2",6.2074449226053e-63,-0.880612077515506,0.399,0.785,1.32944847907438e-58,"DC","OSTC"
"FBN1.2",7.17934442062455e-63,-1.09823267051541,0.054,0.532,1.53760019456516e-58,"DC","FBN1"
"TIMP1.2",9.15290630286194e-63,-1.08733971886818,0.908,0.974,1.96027794288394e-58,"DC","TIMP1"
"NCF4.1",9.16521820713715e-63,0.428148052318981,0.259,0.051,1.96291478342256e-58,"DC","NCF4"
"DNAJB6.2",1.19707157753859e-62,1.03270524365138,0.865,0.718,2.5637681976144e-58,"DC","DNAJB6"
"NDUFA11.1",1.87544086828667e-62,-0.768003345822735,0.528,0.869,4.01663170760957e-58,"DC","NDUFA11"
"ECM1.1",2.34969720975509e-62,-1.04588500856793,0.14,0.606,5.03234651413247e-58,"DC","ECM1"
"GABARAPL2.2",2.6645789874414e-62,-0.806781094318336,0.655,0.905,5.70672881740324e-58,"DC","GABARAPL2"
"ICAM1.2",3.68760784282978e-62,1.0255714903498,0.714,0.389,7.89774971698853e-58,"DC","ICAM1"
"LMAN1.2",4.31223646732191e-62,-0.846875939586624,0.148,0.622,9.23551684206335e-58,"DC","LMAN1"
"SEPT7.1",4.79160688704142e-62,-0.899359588227822,0.477,0.855,1.02621844699766e-57,"DC","SEPT7"
"TMBIM4.1.2",7.72370907450831e-62,-0.818516339150821,0.45,0.832,1.65418677248745e-57,"DC","TMBIM4.1"
"NINJ1.2",7.74969709301769e-62,1.30323377621163,0.66,0.375,1.6597526264116e-57,"DC","NINJ1"
"GLT8D2.2",1.38697699081625e-61,-0.81416623323089,0.019,0.482,2.97048862123117e-57,"DC","GLT8D2"
"S100A16.2",1.79273876768428e-61,-0.922496899166126,0.035,0.5,3.83950861874941e-57,"DC","S100A16"
"PRDX5.1",2.51361800230131e-61,-0.793553979593528,0.55,0.856,5.38341567552871e-57,"DC","PRDX5"
"ACTG1.2",2.62642458350582e-61,-0.81216612964861,0.962,0.995,5.62501353049441e-57,"DC","ACTG1"
"FERMT2.2",3.54591127495089e-61,-0.78698943488755,0.07,0.55,7.59427817756233e-57,"DC","FERMT2"
"PGRMC1.2",4.0439177440443e-61,-0.826403067815121,0.173,0.651,8.66085863241967e-57,"DC","PGRMC1"
"ATP13A3.2",1.09231522031641e-60,1.02788946067435,0.553,0.254,2.33941150735165e-56,"DC","ATP13A3"
"NDFIP1.2",1.30934821868608e-60,-0.968426727704695,0.531,0.839,2.80423107995997e-56,"DC","NDFIP1"
"RPS16.1",1.63107787557863e-60,0.524058323745837,0.997,0.998,3.49327948612675e-56,"DC","RPS16"
"SRI.2",2.1325311900681e-60,-0.859970231347214,0.299,0.739,4.56724204976885e-56,"DC","SRI"
"SPTBN1.1",2.24473297257356e-60,-0.849096864989606,0.04,0.503,4.80754460736079e-56,"DC","SPTBN1"
"TRMT112",2.32615721661405e-60,-0.74618225411045,0.536,0.883,4.98193091082232e-56,"DC","TRMT112"
"GOLM1.2",2.87522827654007e-60,-0.829971306251187,0.035,0.495,6.15787639986587e-56,"DC","GOLM1"
"RP11-386I14.4",6.40743492612224e-60,0.824549070534169,0.288,0.069,1.3722803381276e-55,"DC","RP11-386I14.4"
"C1orf21.2",7.56065724129624e-60,-0.804287891930562,0.04,0.5,1.61926596136842e-55,"DC","C1orf21"
"EIF4E.2",9.64566346278734e-60,1.37210343076308,0.798,0.615,2.06581174382516e-55,"DC","EIF4E"
"AHR.2",1.32331072184862e-59,1.01253345209027,0.677,0.372,2.83413457298318e-55,"DC","AHR"
"FAM127A.2",2.1707114666817e-59,-0.760244941637908,0.081,0.554,4.64901274819219e-55,"DC","FAM127A"
"PTGS2.1",2.85291253742047e-59,1.3402260234004,0.596,0.284,6.11008278139342e-55,"DC","PTGS2"
"LRP10.2",3.23378730372698e-59,-0.817198642099004,0.232,0.689,6.92580226839207e-55,"DC","LRP10"
"CRLF1.2",3.28917784035304e-59,-1.41712885057972,0.065,0.507,7.04443218068411e-55,"DC","CRLF1"
"SEMA3C.2",3.64458312775144e-59,-0.94988908010011,0.054,0.512,7.80560368470526e-55,"DC","SEMA3C"
"PARK7.2",4.6408604058438e-59,-0.743539119390805,0.628,0.888,9.93933073119566e-55,"DC","PARK7"
"GPX8.2",6.74269114849971e-59,-0.754312369288552,0.022,0.478,1.44408216327418e-54,"DC","GPX8"
