"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCDC50",9.36353156941713e-54,0.620394061835118,0.607,0.274,2.00538755622207e-49,"9","CCDC50"
"PPM1F",9.75710359924634e-54,0.355304787898331,0.276,0.063,2.08967887785059e-49,"9","PPM1F"
"RALGDS2",1.28137534026768e-53,0.472158725815487,0.418,0.129,2.7443215662513e-49,"9","RALGDS"
"LRRC8C2",1.63861077608235e-53,0.60603911712462,0.479,0.178,3.50941269913556e-49,"9","LRRC8C"
"HIPK3",3.71891070996327e-53,0.678893889505526,0.613,0.293,7.96479106752834e-49,"9","HIPK3"
"FLNB",3.90698587520246e-53,0.511434097634321,0.421,0.139,8.3675916489211e-49,"9","FLNB"
"TNFRSF10B1",5.66592728173964e-53,0.519094758283618,0.454,0.161,1.21347164593018e-48,"9","TNFRSF10B"
"FAM65A1",7.02256434742712e-53,0.48661392340295,0.457,0.162,1.50402260628847e-48,"9","FAM65A"
"MARCKSL11",8.88991410232969e-53,0.56234178980219,0.49,0.179,1.90395290329595e-48,"9","MARCKSL1"
"RPS271",1.47463869190283e-52,0.381759231860852,1,0.999,3.15823368644828e-48,"9","RPS27"
"RPS6KA2",2.72974411435027e-52,0.310868883424045,0.262,0.059,5.84629296970397e-48,"9","RPS6KA2"
"RPS4X1",3.5428767138443e-52,0.464975680333801,1,0.999,7.58777905804033e-48,"9","RPS4X"
"SLFN5",6.08135888472759e-52,0.502335449608304,0.365,0.108,1.30244463234211e-47,"9","SLFN5"
"RPL35",1.12661553948983e-51,0.428705170102473,1,0.998,2.41287250092537e-47,"9","RPL35"
"CDK17",5.1043171546497e-51,0.387409946552744,0.365,0.108,1.09319160501133e-46,"9","CDK17"
"CTSH4",5.11963996130055e-51,0.537691613765746,0.585,0.231,1.09647329051174e-46,"9","CTSH"
"ST8SIA41",7.61639036689895e-51,0.298040795048395,0.265,0.06,1.63120232487875e-46,"9","ST8SIA4"
